event_timestamp,seat_number,seat_row,seat_section_code,tour_group_id,tour_id,variant_id
1728391231681262,10,M,MEZZ,11845,52651,53094
1728380283272575,17,H,RMEZZ,1293,49786,50150
1728350066293939,114,A,BALC,508,33087,33106
1728395686932976,6,R,ORCH,11845,52661,53104
1728410220355724,103,J,ORCH,11340,53080,53526
1728388973670932,5,R,ORCH,11845,52661,53104
1728346423768353,110,L,RMEZZ,1293,49802,50166
1728398065195767,25,M,ORCH,512,53023,53471
1728405124414448,2,S,ORCH,1293,49791,50155
1728392892376610,107,ZZ,ORCH,11845,62251,63401
1728367134447424,103,E,ORCHC,19636,53147,53596
1728388230556808,17,G,MEZZO,25949,59018,59819
1728402405068690,105,K,ORCHFR,24867,50201,50569
1728391255766423,108,Z,ORCH,11845,52665,53108
1728358572826197,11,A,RMEZZO,519,50617,50976
1728398410299070,25,D,MEZZO,25949,52997,53445
1728421703624931,106,C,ORCH,11845,52663,53106
1728385700514131,16,L,MEZZ,11845,62250,63400
1728417501531525,2,B,Orchestra,24533,48986,49338
1728388542515051,22,N,ORCHO,25949,52990,53438
1728345656284788,112,J,RMEZZ,1293,49802,50166
1728388893953421,5,R,ORCH,11845,52661,53104
1728350150248684,118,D,RMEZZ,27042,59036,59837
1728419052666918,10,F,ORCH,11845,52671,53114
1728398065195767,25,M,ORCH,512,53023,53471
1728414758312800,109,M,ORCHC,519,51190,51578
1728391255766423,108,Z,ORCH,11845,52665,53108
1728418333147897,107,D,BALC,25949,52989,53437
1728396231107722,9,N,ORCHO,25949,55085,55548
1728407207442831,9,M,ORCH,1293,51035,51425
1728388393993488,5,H,MEZZO,25949,59291,60105
1728388638411935,22,C,MEZZO,25949,59291,60105
1728400634122977,122,L,MEZZ,11845,62251,63401
1728397943577902,9,C,ORCH,11845,52658,53101
1728397943577902,9,C,ORCH,11845,52658,53101
1728395352394947,107,E,RMEZZ,26501,56665,57210
1728400768745831,2,B,Orchestra,24533,48986,49338
1728394821157194,113,E,RMEZZ,26501,56665,57210
1728414758312800,109,M,ORCHC,519,51190,51578
1728408168134274,147,L,MEZZ,507,52328,52758
1728402610083360,105,S,ORCHC,26501,61360,62440
1728372622452552,116,E,Dress Circle,1963,2766,2766
1728416683761663,103,Q,ORCHC,19636,53129,53578
1728365656079892,5,G,RMEZZ,27042,55643,56134
1728353486965518,107,CC,ORCHC,519,52292,52720
1728387488397083,110,H,MEZZC,25949,59023,59824
1728388846302632,22,C,MEZZO,25949,59291,60105
1728385838939009,108,Z,ORCH,11845,62251,63401
1728389024587044,107,BB,ORCH,11845,52664,53107
1728383515659836,118,D,RMEZZ,27042,58797,59561
1728419070054113,8,E,Orchestra,24533,48986,49338
1728388812404810,22,C,MEZZO,25949,59291,60105
1728374712560607,1,Q,ORCH,1293,49783,50147
1728380283272575,17,H,RMEZZ,1293,49786,50150
1728420367685372,123,F,FMEZZ,11845,52673,53116
1728412376712418,147,L,MEZZ,507,,52758
1728358572826197,11,A,RMEZZO,519,50617,50976
1728404541811679,123,F,FMEZZ,11845,52673,53116
1728369166333233,1,F,BALC,25949,52979,53427
1728388653123480,22,C,MEZZO,25949,59291,60105
1728371774362531,109,H,ORCHC,27042,55642,56133
1728346454751016,110,L,RMEZZ,1293,49802,50166
1728346454751016,110,L,RMEZZ,1293,49802,50166
1728422858572275,7,J,Mezzanine 2,25408,62905,64140
1728413039475235,148,L,MEZZ,507,52328,52758
1728404389052001,123,F,FMEZZ,11845,52673,53116
1728387625140183,110,H,MEZZC,25949,59023,59824
1728396250623375,9,N,ORCHO,25949,55085,55548
1728421098962621,101,AA,ORCHC,25948,57174,57754
1728388621971275,22,C,MEZZO,25949,59291,60105
1728387829523323,13,G,MEZZO,25949,59018,59819
1728396014943714,21,J,Orchestra Front Left,730,50438,50799
1728406238905118,25,L,ORCH,1293,49782,50146
1728387625140183,110,H,MEZZC,25949,59023,59824
1728383967126721,31,E,RMEZZ,27042,55643,56134
1728391824207997,116,A,BALC,508,33087,33106
1728412570287992,10,A,ORCH,11845,60323,61259
1728388230556808,17,G,MEZZO,25949,59018,59819
1728347727407958,308,D,RMEZZ,25948,56912,57472
1728416652759330,13,H,ORCHO,25637,54891,55350
1728382755246888,103,D,ORCHFR,24867,50203,50571
1728368709142918,1,CC,ORCHO,519,62047,63179
1728413039316542,26,H,RMEZZ,512,53014,53462
1728417670731087,14,E,ORCHO,27042,57116,57693
1728387829523323,13,G,MEZZO,25949,59018,59819
1728388812404810,22,C,MEZZO,25949,59291,60105
1728410328351187,13,E,ORCHO,25637,54891,55350
1728381342287525,9,Q,ORCH,1293,62242,63386
1728381342287525,9,Q,ORCH,1293,62242,63386
1728355361585221,103,X,ORCHC,27042,58274,58997
1728388393993488,5,H,MEZZO,25949,59291,60105
1728388846302632,22,C,MEZZO,25949,59291,60105
1728391231681262,10,M,MEZZ,11845,52651,53094
1728402003774791,104,S,ORCHC,26501,61360,62440
1728410236127874,13,D,ORCH,11340,61073,62117
1728383723960558,9,M,MEZZ,11845,52651,53094
1728395843328958,141,L,MEZZ,507,52328,52758
1728389023591833,107,BB,ORCH,11845,52664,53107
1728369166333233,1,F,BALC,25949,52979,53427
1728394144585541,9,B,ORCH,1293,62233,63377
1728388988409369,107,BB,ORCH,11845,52664,53107
1728422866970804,107,N,ORCHC,26501,54443,54901
1728346454751016,110,L,RMEZZ,1293,49802,50166
1728387661000107,15,K,MEZZO,25949,59024,59825
1728381316750985,9,D,ORCH,1293,62233,63377
1728385715389279,16,L,MEZZ,11845,62250,63400
1728385711988211,16,L,MEZZ,11845,62250,63400
1728389024587044,107,BB,ORCH,11845,52664,53107
1728412381776145,147,L,MEZZ,507,,52758
1728401352913121,7,B,Orchestra,24533,48986,49338
1728406247751039,3,N,ORCH,1293,49783,50147
1728391239477942,10,M,MEZZ,11845,52651,53094
1728396250623375,9,N,ORCHO,25949,55085,55548
1728385715389279,16,L,MEZZ,11845,62250,63400
1728387634806791,5,H,MEZZO,25949,59291,60105
1728387688825108,13,G,MEZZO,25949,59018,59819
1728399346632280,17,B,FMEZZ,512,53025,53473
1728404541811679,123,F,FMEZZ,11845,52673,53116
1728417181750802,13,E,ORCHO,27042,57116,57693
1728418270666163,101,G,RMEZZ.,519,33012,33031
1728410133838127,13,E,ORCHO,25637,54891,55350
1728395039394531,10,D,BALCONY,28800,59507,60354
1728395691984020,6,R,ORCH,11845,52661,53104
1728394821157194,113,E,RMEZZ,26501,56665,57210
1728345669931051,112,J,RMEZZ,1293,49802,50166
1728404517427709,6,N,ORCH,11845,52675,53118
1728412575558322,10,A,ORCH,11845,60323,61259
1728388621971275,22,C,MEZZO,25949,59291,60105
1728404389052001,123,F,FMEZZ,11845,52673,53116
